Name,mdust40,mdust23,mdust15,lbb40,lbb23,lbb15
2MASSJ07594181-3843560,5.3299999999999716,6.9799999999999365,7.8999999999999169,9.3412660250278581,9.5492247836277162,9.3550790520905664
2MASSJ17485512-3254521,5.1899999999999746,6.6799999999999429,7.5999999999999233,9.2012660250278611,9.2492247836277226,9.0550790520905728
2MASXJ03540948+0249307,5.829999999999961,7.1199999999999335,8.0299999999999141,9.8412660250278474,9.6892247836277132,9.4850790520905637
2MASXJ05580206-3820043,5.8999999999999595,7.0699999999999346,7.9799999999999152,9.9112660250278459,9.6392247836277143,9.4350790520905647
2MASXJ06411806+3249313,5.7499999999999627,6.7899999999999405,7.6999999999999211,9.7612660250278491,9.3592247836277203,9.1550790520905707
2MASXJ07262635-3554214,6.439999999999948,7.4899999999999256,8.21999999999991,10.451266025027834,10.059224783627705,9.6750790520905596
2MASXJ08032736+0841523,5.6999999999999638,7.1099999999999337,7.8999999999999169,9.7112660250278502,9.6792247836277134,9.3550790520905664
2MASXJ09023729-4813339,5.6099999999999657,7.2599999999999305,8.7099999999998996,9.6212660250278521,9.8292247836277102,10.165079052090549
2MASXJ09360622-6548336,5.5199999999999676,6.9699999999999367,7.8799999999999173,9.531266025027854,9.5392247836277164,9.3350790520905669
2MASXJ12475784-5829599,5.3199999999999719,6.5099999999999465,7.4199999999999271,9.3312660250278583,9.0792247836277262,8.8750790520905767
2MASXJ13512953-1813468,4.4899999999999896,5.7699999999999623,6.6799999999999429,8.501266025027876,8.339224783627742,8.1350790520905925
2MASXJ14080674-3023537,4.8199999999999825,6.4699999999999473,7.1599999999999326,8.8312660250278689,9.0392247836277271,8.6150790520905822
2MASXJ14530794+2554327,5.9099999999999593,7.1599999999999326,7.8199999999999186,9.9212660250278457,9.7292247836277124,9.2750790520905682
2MASXJ16481523-3035037,5.4199999999999697,6.8199999999999399,7.7399999999999203,9.4312660250278562,9.3892247836277196,9.1950790520905699
2MASXJ20183871+4041003,5.9599999999999582,7.609999999999923,8.5999999999999019,9.9712660250278446,10.179224783627703,10.055079052090552
4U1344-60,5.969999999999958,7.1999999999999318,8.1099999999999124,9.9812660250278444,9.7692247836277115,9.565079052090562
6dFJ2132022-334254,5.2999999999999723,6.5699999999999452,7.469999999999926,9.3112660250278587,9.1392247836277249,8.9250790520905756
ARP151,4.7799999999999834,6.1999999999999531,7.0799999999999343,8.7912660250278698,8.7692247836277328,8.5350790520905839
AXJ1737.4-2907,5.7599999999999625,7.1499999999999329,8.0699999999999132,9.7712660250278489,9.7192247836277126,9.5250790520905628
ESO263-G013,5.7199999999999633,7.049999999999935,7.9699999999999154,9.7312660250278498,9.6192247836277147,9.425079052090565
ESO553-G043,5.4199999999999697,6.6499999999999435,7.4199999999999271,9.4312660250278562,9.2192247836277232,8.8750790520905767
LEDA138501,5.7699999999999623,7.0399999999999352,7.9099999999999167,9.7812660250278487,9.6092247836277149,9.3650790520905662
MCG-02-02-095,4.9099999999999806,6.5399999999999459,7.1799999999999322,8.921266025027867,9.1092247836277256,8.6350790520905818
Mrk352,4.6899999999999853,5.9899999999999576,6.8999999999999382,8.7012660250278717,8.5592247836277373,8.3550790520905878
Mrk50,4.9299999999999802,6.5699999999999452,7.1799999999999322,8.9412660250278666,9.1392247836277249,8.6350790520905818
Mrk728,5.219999999999974,6.5999999999999446,7.519999999999925,9.2312660250278604,9.1692247836277243,8.9750790520905745
NGC5683,5.5599999999999667,7.0599999999999348,7.9099999999999167,9.5712660250278532,9.6292247836277145,9.3650790520905662
PG2304+042,5.1099999999999763,6.3999999999999488,7.3099999999999294,9.1212660250278628,8.9692247836277286,8.765079052090579
SBS0915+556,5.8399999999999608,7.1799999999999322,7.9199999999999164,9.8512660250278472,9.7492247836277119,9.375079052090566
SDSSJ104326.47+110524.2,5.5799999999999663,7.2199999999999314,7.8299999999999184,9.5912660250278527,9.7892247836277111,9.2850790520905679
SWIFTJ212745.6+565636,4.9699999999999793,6.1999999999999531,7.0999999999999339,8.9812660250278658,8.7692247836277328,8.5550790520905835
UGC06728,6.1199999999999548,7.2899999999999299,8.2099999999999103,10.131266025027841,9.8592247836277096,9.6650790520905598
UM614,5.2699999999999729,6.6899999999999427,7.2999999999999297,9.2812660250278594,9.2592247836277224,8.7550790520905792
WKK4374,5.3999999999999702,7.049999999999935,8.0099999999999145,9.4112660250278566,9.6192247836277147,9.4650790520905641
WKK6092,5.0899999999999768,5.8499999999999606,6.7599999999999412,9.1012660250278632,8.4192247836277403,8.2150790520905907
