Name,BAT Mstar,HRS ID,HRS Mstar
2MASXJ00253292+6821442,10.4264974521,114,10.51
2MASXJ01064523+0638015,10.812798051,211,10.800000000000001
2MASXJ03534246+3714077,9.88911983739,57,9.8100000000000005
2MASXJ04440903+2813003,10.8299843105,220,10.94
2MASXJ05054575-2351139,10.0436299596,215,9.9199999999999999
2MASXJ06411806+3249313,10.1405724214,46,10.279999999999999
2MASXJ07595347+2323241,10.8241755662,122,10.710000000000001
2MASXJ09043699+5536025,9.96794873969,15,10.0
2MASXJ12005792+0648226,10.9272084806,97,11.0
2MASXJ21355399+4728217,10.2948501307,127,10.24
2MFGC02280,10.4932704019,93,10.44
ARK347,10.5073885813,231,10.619999999999999
ARP102B,10.7250348299,137,10.58
ARP151,10.1062210724,45,10.25
CGCG102-048,10.6180838952,176,10.640000000000001
CGCG122-055,10.1312190895,307,10.25
CGCG300-062,10.3375310725,274,10.25
CGCG312-012,10.5836594168,194,10.460000000000001
CGCG319-007,10.8698730151,174,10.779999999999999
CGCG420-015,10.8224483274,200,10.960000000000001
ESO490-IG026,11.0746455724,138,11.18
ESO506-G027,11.207539148,245,11.34
ESO511-G030,11.5465422854,135,11.48
Fairall272,10.356969339,22,10.48
IC0486,10.7452018654,166,10.67
IC2461,9.47064380929,143,9.5999999999999996
IC4329A,11.1027743668,236,10.99
KUG1141+371,10.514460485,218,10.48
KUG1208+386,10.2613401485,141,10.32
LEDA170194,10.730980677,306,10.779999999999999
LEDA214543,10.6504662731,316,10.52
M106,10.3430127623,224,10.220000000000001
MCG+01-57-016,10.3471294606,36,10.24
MCG+02-21-013,10.9555036927,270,10.93
MCG+04-22-042,10.7622342287,170,10.699999999999999
MCG+04-48-002,10.3623792572,205,10.26
MCG+05-28-032,10.542700749,175,10.4
MCG+06-24-008,10.4914234311,285,10.460000000000001
MCG+06-49-019,10.8016816196,163,10.66
MCG+08-11-011,11.2006200197,150,11.220000000000001
MCG+11-11-032,10.7993544899,91,10.65
MCG-01-05-047,10.8501439605,186,10.880000000000001
MCG-01-13-025,10.4546890773,113,10.44
MCG-01-24-012,10.3432213986,260,10.449999999999999
MCG-01-40-001,10.9763205649,241,10.98
MCG-02-08-014,10.3597197775,117,10.35
MCG-02-12-050,10.9163709875,161,10.789999999999999
MCG-03-34-064,10.7788913912,208,10.74
MCG-05-23-016,10.0641712096,310,9.9399999999999995
Mrk10,10.9650823268,263,10.92
Mrk1018,11.1364084386,213,11.119999999999999
Mrk1210,9.98529330122,185,10.06
Mrk1392,10.7939919919,251,10.710000000000001
Mrk18,9.73003789139,323,9.8800000000000008
Mrk198,10.2465720497,13,10.17
Mrk279,10.7712156995,217,10.66
Mrk348,10.7100459338,272,10.59
Mrk352,9.796616301,273,9.8800000000000008
Mrk417,10.385515388,173,10.43
Mrk477,9.69635178414,42,9.7699999999999996
Mrk50,10.1098480813,100,9.9800000000000004
Mrk590,11.0628219693,190,10.98
Mrk595,10.412722419,295,10.43
Mrk728,10.2837402138,123,10.140000000000001
Mrk739E,10.6501098288,77,10.539999999999999
Mrk766,10.0926787501,247,10.140000000000001
Mrk79,10.7890180795,179,10.710000000000001
Mrk817,10.5618776959,201,10.67
Mrk926,11.1986133384,213,11.119999999999999
NGC1052,10.5552789086,204,10.449999999999999
NGC1194,10.6617714528,269,10.619999999999999
NGC2110,11.0729434447,138,11.18
NGC235A,10.7146085285,180,10.58
NGC2885,10.8729491953,208,10.74
NGC2992,10.479897614,71,10.550000000000001
NGC3079,10.6246108607,73,10.6
NGC3081,10.4459701707,102,10.390000000000001
NGC3227,10.9310113025,241,10.98
NGC3281,10.4218316278,7,10.289999999999999
NGC3516,10.8335426514,49,10.699999999999999
NGC3718,10.3201956695,244,10.19
NGC3786,10.2294434314,129,10.289999999999999
NGC4051,9.97104366952,48,9.9199999999999999
NGC4102,10.1985156695,14,10.119999999999999
NGC4138,9.87732162154,23,9.9000000000000004
NGC4235,10.5470645563,69,10.470000000000001
NGC4388,10.0163420122,81,9.9399999999999995
NGC4992,10.9334458794,97,11.0
NGC5106,10.8500954079,179,10.710000000000001
NGC513,10.6208030613,122,10.710000000000001
NGC5231,10.7123802661,269,10.619999999999999
NGC5252,10.9113654146,306,10.779999999999999
NGC5273,9.82157133716,134,9.9600000000000009
NGC5290,10.4819604076,260,10.449999999999999
NGC5506,10.0580829164,59,9.9600000000000009
NGC5548,10.6246976316,73,10.6
NGC5610,10.39699219,216,10.33
NGC5674,10.6327247435,179,10.710000000000001
NGC5683,10.3554962523,214,10.25
NGC5728,10.5827068104,73,10.6
NGC5899,10.6315819626,170,10.699999999999999
NGC5995,10.0983302067,96,10.01
NGC6240,11.5840154447,178,11.59
NGC6814,10.4484888104,162,10.300000000000001
NGC7469,10.7748213282,208,10.74
NGC7603,11.1664859211,138,11.18
NGC7679,10.1633314711,156,10.24
NGC788,10.9628631553,200,10.960000000000001
NGC931,10.9841335809,220,10.94
NGC985,10.8879271868,220,10.94
SBS1301+540,9.99852016137,111,10.1
UGC03142,10.336950978,56,10.199999999999999
UGC03601,10.191898341,121,10.09
UGC03995A,10.7079823521,211,10.800000000000001
UGC05881,10.4196952376,93,10.44
UGC07064,10.6934639485,163,10.66
UGC08327NED02,10.802408663,263,10.92
UGC11185NED02,10.7224600893,122,10.710000000000001
UGC12282,11.3695930245,183,11.359999999999999
UGC12741,10.2430632464,3,10.210000000000001
UM614,10.1227132382,85,10.07
VIIZw073,10.4232135568,93,10.44
